T,m,sus,bin_cum
1.410000,0.990862,0.024742,0.666663
1.420000,0.990606,0.023818,0.666663
1.430000,0.989938,0.029467,0.666663
1.440000,0.989521,0.029571,0.666663
1.450000,0.989190,0.031032,0.666662
1.460000,0.988709,0.030818,0.666662
1.470000,0.988086,0.035598,0.666662
1.480000,0.987487,0.033743,0.666662
1.490000,0.987040,0.040351,0.666661
1.500000,0.986397,0.043356,0.666661
1.510000,0.986109,0.040518,0.666661
1.520000,0.985732,0.044671,0.666661
1.530000,0.984736,0.050214,0.666660
1.540000,0.983791,0.054307,0.666659
1.550000,0.983413,0.054197,0.666659
1.560000,0.982630,0.052452,0.666659
1.570000,0.981992,0.061567,0.666658
1.580000,0.981314,0.068521,0.666657
1.590000,0.980438,0.061791,0.666658
1.600000,0.979476,0.067547,0.666657
1.610000,0.978825,0.065875,0.666658
1.620000,0.978069,0.071638,0.666657
1.630000,0.976998,0.075774,0.666656
1.640000,0.976217,0.092948,0.666654
1.650000,0.975357,0.087504,0.666654
1.660000,0.974286,0.095342,0.666653
1.670000,0.973323,0.095205,0.666653
1.680000,0.972525,0.104373,0.666652
1.690000,0.971376,0.115447,0.666650
1.700000,0.969960,0.128437,0.666648
1.710000,0.968693,0.137507,0.666647
1.720000,0.967950,0.124509,0.666649
1.730000,0.966734,0.126644,0.666649
1.740000,0.965649,0.139837,0.666647
1.750000,0.964059,0.148186,0.666645
1.760000,0.963151,0.166636,0.666643
1.770000,0.961389,0.165406,0.666643
1.780000,0.960388,0.169503,0.666642
1.790000,0.958126,0.204767,0.666637
1.800000,0.956974,0.195508,0.666638
1.810000,0.954252,0.256724,0.666629
1.820000,0.954053,0.224959,0.666634
1.830000,0.951763,0.215704,0.666635
1.840000,0.950182,0.216083,0.666635
1.850000,0.947835,0.285623,0.666624
1.860000,0.946273,0.291669,0.666623
1.870000,0.944468,0.286080,0.666624
1.880000,0.941481,0.402463,0.666606
